City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Namibe,AO,-15.1961,12.1522,63.19,89,24,7.09,few clouds
79,Cascais,PT,38.6979,-9.4215,64.51,97,1,21.0,clear sky
80,Lebu,CL,-37.6167,-73.65,52.32,87,50,8.77,scattered clouds
81,Castro,BR,-24.7911,-50.0119,62.73,92,33,2.53,scattered clouds
82,Pangnirtung,CA,66.1451,-65.7125,16.77,71,72,6.04,broken clouds
83,Parrsboro,CA,45.4001,-64.332,62.26,83,100,1.99,light rain
84,Atar,MR,20.5169,-13.0499,88.14,15,24,7.2,few clouds
85,Hambantota,LK,6.1241,81.1185,78.57,82,100,15.23,overcast clouds
86,Ambilobe,MG,-13.2,49.05,66.87,74,4,5.06,clear sky
87,Koyelga,RU,54.6522,60.9049,39.78,87,100,5.95,overcast clouds
88,Azogues,EC,-2.7333,-78.8333,62.55,93,99,4.27,light rain
89,Saint-Joseph,RE,-21.3667,55.6167,64.78,71,15,7.36,few clouds
90,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,26.46,light rain
91,Hualmay,PE,-11.0964,-77.6139,62.87,81,56,11.07,broken clouds
92,Tukan,RU,53.8409,57.4552,34.7,100,100,2.37,snow
93,Dabakala,CI,8.3667,-4.4333,73.78,89,35,4.36,scattered clouds
94,Sergeyevka,KZ,53.88,67.4158,39.76,85,100,7.67,overcast clouds
95,Saint-Philippe,RE,-21.3585,55.7679,65.79,72,32,7.78,scattered clouds
96,Vila Velha,BR,-20.3297,-40.2925,71.55,97,100,2.3,overcast clouds
97,Saint Stephen,GB,50.3333,-4.9,57.47,94,100,8.05,overcast clouds
98,Tinos,GR,37.5375,25.1634,64.02,72,20,11.5,few clouds
99,Crestview,US,30.7621,-86.5705,62.08,34,0,6.91,clear sky
100,Ponta Do Sol,PT,32.6667,-17.1,75.83,74,99,8.77,overcast clouds
101,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,83,100,17.29,light rain
102,Bahia Blanca,AR,-38.7196,-62.2724,70.99,44,93,8.25,overcast clouds
103,Monroe,US,43.1501,-77.6831,43.95,89,100,18.41,overcast clouds
104,Jutai,BR,-5.1833,-68.9,76.98,90,63,2.71,broken clouds
105,Lagoa,PT,39.05,-27.9833,66.0,71,100,24.34,light rain
106,Beisfjord,NO,68.3751,17.5988,43.05,97,99,6.17,overcast clouds
107,Margate,GB,51.3813,1.3862,59.9,87,100,5.99,overcast clouds
108,Pindi Gheb,PK,33.2402,72.2661,71.62,47,49,8.77,scattered clouds
109,Carnarvon,AU,-24.8667,113.6333,66.61,80,7,10.16,clear sky
110,Ostrovnoy,RU,68.0531,39.5131,36.95,70,85,36.91,overcast clouds
111,Mecca,SA,21.4267,39.8261,79.84,54,0,2.62,clear sky
112,Sinfra,CI,6.6167,-5.9167,70.43,99,67,2.15,moderate rain
113,Tasiilaq,GL,65.6145,-37.6368,32.16,94,100,7.29,overcast clouds
114,Jalu,LY,29.0331,21.5482,72.34,49,72,6.33,broken clouds
115,Kavaratti,IN,10.5669,72.642,81.14,78,42,13.35,scattered clouds
116,Mumford,GH,5.2618,-0.759,77.63,88,6,9.91,light rain
117,Redcliffe,AU,-27.2307,153.0973,72.09,78,100,8.05,moderate rain
118,Abu Zabad,SD,12.35,29.25,82.96,43,38,1.1,scattered clouds
119,Semnan,IR,35.5729,53.3971,60.64,41,0,2.3,clear sky
120,Constantine,DZ,36.365,6.6147,62.01,51,0,0.0,clear sky
121,Macapa,BR,0.0389,-51.0664,85.98,74,40,9.22,scattered clouds
122,Mizdah,LY,31.4451,12.9801,60.3,81,12,4.63,few clouds
123,Odesskoye,RU,54.2111,72.9651,41.7,86,100,8.77,overcast clouds
124,Businga,CD,3.3333,20.8833,70.25,99,100,2.64,light rain
125,Nalut,LY,30.3333,10.85,64.2,51,0,9.1,clear sky
126,Nanortalik,GL,60.1432,-45.2371,34.32,81,57,32.37,broken clouds
127,Sicuani,PE,-14.2694,-71.2261,57.63,48,96,8.43,overcast clouds
128,Sambava,MG,-14.2667,50.1667,66.2,84,6,8.93,clear sky
129,Sioux Lookout,CA,50.1001,-91.917,37.47,48,75,4.61,broken clouds
130,Nouakchott,MR,18.0858,-15.9785,80.53,61,0,11.27,clear sky
131,Douentza,ML,14.9951,-2.9517,86.83,18,17,3.87,few clouds
132,Gonbad-E Qabus,IR,37.25,55.1672,66.87,39,0,4.74,clear sky
133,Iqaluit,CA,63.7506,-68.5145,22.73,67,40,16.11,scattered clouds
134,Mao,ES,39.8885,4.2658,70.36,100,75,8.05,broken clouds
135,Ozinki,RU,51.1786,49.6769,50.4,54,100,9.69,overcast clouds
136,Asfi,MA,32.2994,-9.2372,69.22,75,100,5.59,overcast clouds
137,Pratapgarh,IN,24.0333,74.7833,67.69,56,39,6.91,scattered clouds
138,Lodingen,NO,68.414,15.9951,39.34,84,82,4.83,broken clouds
139,Aripuana,BR,-9.1667,-60.6333,75.6,87,98,0.51,overcast clouds
140,Muros,ES,42.7762,-9.0603,60.84,84,25,24.16,scattered clouds
